Date,Open,High,Low,Close,Adj Close,Volume
2003-09-03,3075.0,3375.0,3025.0,3375.0,2167.930664,8632500
2003-09-04,3450.0,3750.0,3375.0,3425.0,2200.048096,16570000
2003-09-05,3425.0,3500.0,3400.0,3450.0,2216.106934,4811000
2003-09-08,3450.0,3450.0,3325.0,3400.0,2183.98999,3601500
2003-09-09,3400.0,3400.0,3300.0,3325.0,2135.813477,2815000
2003-09-10,3300.0,3300.0,3200.0,3200.0,2055.519531,2838000
2003-09-11,3200.0,3225.0,3200.0,3200.0,2055.519531,1417500
2003-09-12,3225.0,3350.0,3225.0,3300.0,2119.75415,3078500
2003-09-15,3300.0,3325.0,3225.0,3250.0,2087.636719,1827500
2003-09-16,3275.0,3325.0,3275.0,3325.0,2135.813477,1741000
2003-09-17,3350.0,3350.0,3300.0,3325.0,2135.813477,1778000
2003-09-18,3300.0,3300.0,3275.0,3300.0,2119.75415,1015000
2003-09-19,3300.0,3300.0,3300.0,3300.0,2119.75415,357500
2003-09-23,3300.0,3325.0,3275.0,3300.0,2119.75415,1448500
2003-09-24,3325.0,3325.0,3325.0,3325.0,2135.813477,1020000
2003-09-25,3325.0,3400.0,3325.0,3350.0,2151.871582,2710500
2003-09-26,3350.0,3350.0,3300.0,3325.0,2135.813477,1820500
2003-09-29,3325.0,3325.0,3275.0,3300.0,2119.75415,442500
2003-09-30,3325.0,3375.0,3325.0,3350.0,2151.871582,2839500
2003-10-01,3350.0,3375.0,3325.0,3325.0,2135.813477,468000
2003-10-02,3350.0,3350.0,3325.0,3350.0,2151.871582,3288500
2003-10-03,3350.0,3350.0,3325.0,3325.0,2135.813477,2432500
2003-10-06,3325.0,3325.0,3300.0,3300.0,2119.75415,2627000
2003-10-07,3325.0,3325.0,3300.0,3325.0,2135.813477,1467000
2003-10-08,3325.0,3325.0,3300.0,3300.0,2119.75415,3034000
2003-10-09,3300.0,3300.0,3300.0,3300.0,2119.75415,3571500
2003-10-10,3325.0,3325.0,3275.0,3275.0,2103.695801,1215500
2003-10-13,3300.0,3300.0,3275.0,3300.0,2119.75415,229000
2003-10-14,3300.0,3325.0,3300.0,3300.0,2119.75415,1945000
2003-10-15,3300.0,3300.0,3250.0,3250.0,2087.636719,2550000
2003-10-16,3275.0,3275.0,3250.0,3250.0,2087.636719,1472500
2003-10-17,3275.0,3275.0,3250.0,3275.0,2103.695801,2241500
2003-10-20,3275.0,3275.0,3250.0,3250.0,2087.636719,1639000
2003-10-21,3250.0,3250.0,3250.0,3250.0,2087.636719,1415500
2003-10-22,3250.0,3250.0,3200.0,3200.0,2055.519531,1666500
2003-10-23,3200.0,3200.0,3100.0,3100.0,1991.284912,3704500
2003-10-24,3150.0,3250.0,3150.0,3225.0,2071.577881,934500
2003-10-27,3225.0,3250.0,3200.0,3225.0,2071.577881,1371000
2003-10-28,3250.0,3275.0,3200.0,3225.0,2071.577881,2366000
2003-10-29,3200.0,3200.0,3150.0,3175.0,2039.460938,1445000
2003-10-30,3175.0,3175.0,3100.0,3125.0,2007.343506,1320000
2003-10-31,3125.0,3225.0,3125.0,3225.0,2071.577881,4344000
2003-11-03,3200.0,3200.0,3175.0,3200.0,2055.519531,861500
2003-11-04,3200.0,3275.0,3200.0,3250.0,2087.636719,2840000
2003-11-05,3250.0,3250.0,3200.0,3200.0,2055.519531,1256500
2003-11-06,3200.0,3225.0,3200.0,3225.0,2071.577881,852000
2003-11-07,3225.0,3250.0,3225.0,3250.0,2087.636719,2188000
2003-11-10,3225.0,3300.0,3225.0,3300.0,2119.75415,1779000
2003-11-11,3275.0,3300.0,3250.0,3300.0,2119.75415,2719000
2003-11-12,3300.0,3325.0,3275.0,3275.0,2103.695801,2497000
2003-11-13,3225.0,3225.0,3200.0,3225.0,2116.823242,1802500
2003-11-14,3200.0,3225.0,3200.0,3200.0,2100.413574,420500
2003-11-17,3200.0,3200.0,3175.0,3175.0,2084.004883,904500
2003-11-18,3150.0,3175.0,3150.0,3175.0,2084.004883,667500
2003-11-19,3150.0,3150.0,3125.0,3150.0,2067.595215,1373000
2003-11-20,3125.0,3150.0,3125.0,3150.0,2067.595215,1178500
2003-11-21,3175.0,3175.0,3175.0,3175.0,2084.004883,978000
2003-12-01,3200.0,3425.0,3200.0,3425.0,2248.099365,11320500
2003-12-02,3450.0,3475.0,3325.0,3350.0,2198.870605,7673000
2003-12-03,3350.0,3375.0,3350.0,3350.0,2198.870605,2228000
2003-12-04,3350.0,3350.0,3300.0,3325.0,2182.461182,536500
2003-12-05,3325.0,3325.0,3275.0,3275.0,2149.642334,1130500
